"","Rating","Avg 7d","Δ7d","Avg 30d","Δ30d","Rating","Avg 7d","Δ7d","Avg 30d","Δ30d","Rating","μ","σ","Δrat.7d","Rating","μ","φ","Δrat. 7d"
"business associates  business associates (business)","1105.90","1050.44","+121.40","1004.53","+128.12","1184.43","1093.55","+214.47","1010.19","+230.44","1718.94","1900.29","72.54","+101.61","1744.09","1869.58","50.20","+47.17"
"ViKin.gg  ViKin.gg (Vikin.gg)","1068.43","1064.43","+19.17","1055.82","-12.95","1134.71","1128.88","+38.40","1082.21","+17.80","1742.35","1862.64","48.12","+38.84","1744.03","1848.04","41.60","+24.95"
"Natus Vincere  Natus Vincere (Na`Vi)","1015.35","1015.73","-0.76","1021.81","-31.48","1063.18","1064.73","-3.12","1074.72","-52.43","1384.34","1772.68","155.33","-55.46","1725.61","1839.52","45.56","-3.13"
"Chicken Fighters !  Chicken Fighters ! (ChFight!)","1036.91","1037.82","-1.82","1041.00","-8.46","1058.42","1059.85","-2.88","1064.89","-13.39","1277.03","1863.68","234.66","-35.14","1723.28","1892.25","67.59","-2.02"
"Sparking Arrow Gaming  Sparking Arrow Gaming (SAG)","910.60","908.41","+4.41","901.38","+4.31","904.27","901.93","+4.72","883.48","+58.93","1686.35","1969.38","113.21","+117.09","1722.30","1838.49","46.47","+14.59"
"OG.Seed  OG.Seed (OG.S)","1003.16","1003.24","-0.16","1003.51","-0.72","997.12","997.05","+0.14","996.80","+0.66","1302.87","1830.75","211.15","-39.35","1716.37","1868.91","61.02","-2.25"
"HellRaisers  HellRaisers (HR)","1008.59","1008.80","-0.42","1003.50","+25.00","1022.05","1022.60","-1.09","1012.78","+60.00","1553.44","1852.60","119.66","-76.68","1714.24","1820.38","42.45","-3.25"
"Thunder Predator  Thunder Predator (ThunderP)","1000.96","1016.29","-22.16","1040.97","-111.52","1000.16","1006.15","-7.97","1038.85","-168.57","1590.43","1770.78","72.14","+80.14","1711.41","1829.44","47.21","+17.45"
"Newbee  Newbee (Newbee)","946.65","945.34","+2.63","940.74","+12.23","943.99","942.62","+2.76","937.78","+12.84","1485.46","1946.54","184.43","-45.63","1711.05","1828.63","47.04","-3.05"
"Neon Esports  Neon Esports (neon)","1067.66","1091.44","+0.87","1010.43","+90.28","1110.27","1171.11","-14.70","1024.73","+146.79","1793.11","1997.67","81.82","-48.52","1708.49","1837.41","51.57","+7.43"
"Gambit Esports  Gambit Esports (Gambit)","901.69","899.29","+4.85","921.45","-103.46","856.69","853.18","+7.07","880.72","-133.28","1163.17","1578.00","165.93","-51.40","1669.77","1792.83","49.22","-2.87"
"KEEN GAMING  KEEN GAMING (EHOME.K)","921.67","919.75","+3.86","914.19","+0.86","937.78","936.25","+3.07","932.99","-12.99","1424.66","1842.77","167.24","-50.94","1667.33","1781.37","45.61","-3.08"
"beastcoast  beastcoast (bc)","937.97","961.31","-47.00","974.11","-33.42","896.88","944.10","-99.38","961.66","-30.28","1484.11","1680.72","78.64","-31.81","1660.95","1777.46","46.60","-22.89"
"T1  T1 (T1)","986.46","1021.49","-46.73","1003.88","-13.81","974.80","1060.06","-113.56","1030.31","-47.41","1667.21","1856.60","75.76","+8.66","1647.63","1795.32","59.08","+19.79"
"Team Spirit  Team Spirit (TSpirit)","961.86","960.92","+1.88","957.63","+8.74","979.04","978.53","+1.03","976.72","+4.80","1358.43","1775.60","166.87","-51.07","1633.81","1750.44","46.65","-2.96"
"Reality Rift  Reality Rift (RR )","937.40","939.69","-14.11","962.36","-85.38","943.43","931.63","+2.82","965.62","-129.06","1589.43","1742.90","61.39","+32.09","1622.66","1732.34","43.87","-1.92"
"Team Unique  Team Unique (Unique)","939.44","987.35","-83.19","988.88","-21.93","947.72","1028.98","-154.59","1034.12","-13.85","1403.47","1630.50","90.82","-8.93","1596.17","1714.75","47.44","-25.08"
"Team Empire Hope  Team Empire Hope (EmpireH)","1080.26","1082.23","-3.96","1014.13","+102.67","1165.48","1169.53","-8.17","1036.55","+199.85","1544.90","1887.84","137.18","-64.36","1592.97","1764.43","68.59","-2.00"
"Cyber Legacy  Cyber Legacy (CL)","958.38","957.36","+2.05","958.86","+71.07","919.54","917.56","+3.97","947.14","+80.96","1433.57","1730.52","118.78","-77.45","1590.72","1705.87","46.06","-3.00"
"Team Sirius  Team Sirius (Sirius)","1023.41","966.85","+70.37","953.56","+78.43","1083.91","970.64","+140.28","946.95","+149.94","1377.59","1905.75","211.26","+804.64","1589.06","1774.29","74.09","+82.68"
"Aggressive Mode  Aggressive Mode (A-Mode)","1003.78","1003.88","-0.19","1005.02","+10.38","1052.34","1053.63","-2.58","1065.83","-23.72","1370.95","1787.46","166.60","-51.16","1564.05","1706.37","56.93","-2.41"
"Blaze  Blaze (Blaze)","988.30","994.84","-2.71","991.42","-1.16","980.10","988.82","+0.50","980.66","+4.00","1312.85","1723.81","164.38","+491.78","1551.57","1745.11","77.42","+32.84"
"Winstrike Team  Winstrike Team (Winstrike)","866.85","863.59","+6.57","877.93","-78.08","828.11","823.90","+8.48","833.09","-75.79","1244.37","1617.85","149.39","-58.06","1541.26","1660.55","47.72","-2.88"
"iG.Vitality  iG.Vitality","955.70","954.61","+2.19","950.79","+10.16","922.85","920.96","+3.81","914.30","+17.69","586.76","1391.02","321.70","-25.26","1525.46","1714.26","75.52","-1.83"
"Furia  Furia (FURIA)","900.77","898.33","+4.90","889.77","+22.75","845.32","841.53","+7.63","828.18","+35.46","933.81","1530.28","238.59","-34.53","1513.21","1657.42","57.68","-2.38"
"Team Empire  Team Empire (Empire)","998.03","995.60","+14.86","985.29","+17.74","1017.86","1004.04","+44.01","979.94","+48.50","1551.04","2086.49","214.18","+1007.02","1497.51","1689.99","76.99","+82.09"
"Infamous Gaming  Infamous Gaming (Infamous)","929.14","927.40","+3.50","921.28","+16.25","885.24","882.43","+5.66","872.53","+26.31","761.40","1364.18","241.12","-34.15","1483.14","1646.93","65.51","-2.12"
"Typhoon  Typhoon","939.69","963.89","-31.85","967.72","-26.97","901.71","951.37","-65.78","961.23","-60.20","471.61","1010.21","215.44","-274.14","1464.52","1650.10","74.23","-70.56"
"B8  B8 (B8)","922.48","904.09","+28.69","846.79","+122.16","963.99","927.41","+54.81","814.17","+236.17","1425.56","1643.89","87.33","+48.81","1454.75","1590.37","54.25","+15.50"
"Cignal Ultra  Cignal Ultra (Cignal)","831.52","837.53","-30.92","923.44","-136.69","760.86","767.57","-37.36","887.53","-193.31","951.27","1357.91","162.66","+0.90","1437.22","1587.92","60.28","-5.42"
"EGOBOYS  EGOBOYS (EGO)","955.96","954.88","+2.17","951.08","+10.10","919.28","917.31","+3.98","910.34","+18.51","348.88","1223.88","350.00","0.00","1303.46","1492.22","75.50","-1.81"
"Gorillaz-Pride  Gorillaz-Pride (G-pride)","980.40","979.92","+0.97","978.23","+4.49","980.29","979.81","+0.97","978.11","+4.52","497.81","1372.81","350.00","0.00","1287.13","1484.17","78.82","-1.73"
